order_id,order_date,order_time,customer_id,menu_item_id,quantity,total_price,payment_method,order_type,item_name,category,price,cost,name,email,phone
5,3/24/2024,9:38 AM,3,2,4,60,Cash,Delivery,Bruschetta,Appetizer,15,7,Rosalind Kield,rkield2@nyu.edu,917-741-6998
17,5/7/2024,6:13 AM,63,10,1,8,Online,Dine-in,Cheesecake,Dessert,8,4,Myrta Doble,mdoble1q@theglobeandmail.com,930-251-4907
18,11/16/2023,12:42 PM,41,13,2,16,Online,Delivery,Apple Smoothie,Beverage,8,4,Kameko Whissell,kwhissell14@123-reg.co.uk,814-690-5796
20,1/20/2023,10:51 PM,75,11,1,10,Online,Takeaway,Tiramisu,Dessert,10,6,Freedman Guitonneau,fguitonneau22@patch.com,126-146-3322
24,7/13/2023,2:43 PM,43,13,3,24,Card,Dine-in,Apple Smoothie,Beverage,8,4,Netti Kerwood,nkerwood16@instagram.com,695-359-4275
43,10/26/2024,7:17 PM,76,3,4,28,Cash,Takeaway,Spring Rolls,Appetizer,7,4,Shanon Arrington,sarrington23@addtoany.com,921-277-5012
49,2/27/2023,9:21 AM,70,2,1,15,Cash,Takeaway,Bruschetta,Appetizer,15,7,Cad Jeves,cjeves1x@freewebs.com,668-140-9665
58,11/20/2023,12:45 AM,71,15,3,30,Online,Takeaway,Chocolate Milkshake,Beverage,10,6,Lu Demange,ldemange1y@jiathis.com,597-664-9865
84,10/28/2024,4:41 AM,60,4,2,30,Cash,Dine-in,Margherita Pizza,Main Course,15,10,Martainn Latan,mlatan1n@scribd.com,769-466-0333
101,10/3/2023,6:14 AM,26,9,2,14,Card,Takeaway,Chocolate Cake,Dessert,7,4,Tim Korejs,tkorejsp@hc360.com,549-990-9992
104,1/24/2023,12:10 AM,23,3,1,7,Cash,Delivery,Spring Rolls,Appetizer,7,4,Annabela Lavielle,alaviellem@smugmug.com,394-600-7861
120,3/23/2024,8:49 AM,31,15,4,40,Card,Delivery,Chocolate Milkshake,Beverage,10,6,Vanessa Swatheridge,vswatheridgeu@yellowbook.com,502-156-7557
135,11/21/2023,7:22 PM,34,6,2,32,Card,Delivery,Grilled Salmon,Main Course,16,9,Dwight Dickons,ddickonsx@aboutads.info,493-181-0807
152,5/24/2023,7:59 PM,8,3,3,21,Online,Delivery,Spring Rolls,Appetizer,7,4,Steffane Millins,smillins7@imageshack.us,307-614-1405
153,1/26/2024,9:00 AM,9,11,3,30,Cash,Delivery,Tiramisu,Dessert,10,6,Janot Kittle,jkittle8@slashdot.org,627-446-5586
156,10/31/2024,5:19 PM,7,15,4,40,Cash,Delivery,Chocolate Milkshake,Beverage,10,6,Jennie Hannigane,jhannigane6@godaddy.com,517-761-8565
157,10/1/2023,9:36 AM,80,10,3,24,Online,Takeaway,Cheesecake,Dessert,8,4,Prinz Strapp,pstrapp27@sourceforge.net,502-659-4665
160,5/8/2024,2:52 AM,24,15,3,30,Online,Dine-in,Chocolate Milkshake,Beverage,10,6,Jorie Dibdale,jdibdalen@businessinsider.com,173-875-2570
184,1/25/2024,7:40 PM,79,15,3,30,Cash,Dine-in,Chocolate Milkshake,Beverage,10,6,Lennie Follin,lfollin26@w3.org,647-206-4256
200,1/20/2023,10:06 AM,51,3,3,21,Cash,Delivery,Spring Rolls,Appetizer,7,4,Sinclare Antuk,santuk1e@umn.edu,880-427-8204
207,9/5/2024,11:58 PM,76,1,4,40,Cash,Dine-in,Garlic Bread,Appetizer,10,6,Shanon Arrington,sarrington23@addtoany.com,921-277-5012
209,5/29/2023,8:17 AM,77,4,1,15,Cash,Dine-in,Margherita Pizza,Main Course,15,10,Chrotoem Dominici,cdominici24@pbs.org,262-551-2069
214,10/24/2024,12:45 PM,65,15,1,10,Card,Dine-in,Chocolate Milkshake,Beverage,10,6,Kamilah Stedmond,kstedmond1s@soup.io,216-375-4907
222,7/14/2023,4:27 PM,34,6,1,16,Cash,Dine-in,Grilled Salmon,Main Course,16,9,Dwight Dickons,ddickonsx@aboutads.info,493-181-0807
231,2/20/2023,8:17 AM,82,2,4,60,Cash,Dine-in,Bruschetta,Appetizer,15,7,Iver Sherrett,isherrett29@studiopress.com,501-369-7913
241,7/19/2024,2:44 PM,2,1,2,20,Card,Takeaway,Garlic Bread,Appetizer,10,6,Hinda Dibling,hdibling1@prlog.org,622-873-6297
244,3/26/2024,8:24 AM,89,2,4,60,Cash,Dine-in,Bruschetta,Appetizer,15,7,Marlo Dormand,mdormand2g@geocities.com,171-720-3110
252,11/20/2023,3:21 AM,36,8,1,15,Card,Delivery,Vegetable Stir Fry,Main Course,15,8,Neron Cotterell,ncotterellz@cnn.com,601-860-4976
255,12/26/2023,7:47 AM,7,12,3,24,Online,Takeaway,Mango Smoothie,Beverage,8,4,Jennie Hannigane,jhannigane6@godaddy.com,517-761-8565
258,7/8/2023,1:21 AM,7,15,4,40,Card,Delivery,Chocolate Milkshake,Beverage,10,6,Jennie Hannigane,jhannigane6@godaddy.com,517-761-8565
261,7/20/2024,9:54 PM,40,3,3,21,Cash,Delivery,Spring Rolls,Appetizer,7,4,Darlene Abbs,dabbs13@spotify.com,725-645-6070
262,3/26/2024,2:48 PM,98,1,3,30,Online,Delivery,Garlic Bread,Appetizer,10,6,Murdoch Pyett,mpyett2p@ustream.tv,559-585-3339
273,1/21/2023,6:11 PM,69,12,1,8,Online,Takeaway,Mango Smoothie,Beverage,8,4,Yolanthe Dumbreck,ydumbreck1w@bloomberg.com,184-485-0508
280,3/19/2024,8:00 PM,5,15,3,30,Cash,Delivery,Chocolate Milkshake,Beverage,10,6,Steven Klosges,sklosges4@amazon.co.uk,378-930-8342
286,3/24/2024,6:34 AM,33,3,1,7,Cash,Delivery,Spring Rolls,Appetizer,7,4,Isabella Cereceres,icereceresw@jalbum.net,169-555-6383
293,12/25/2024,3:40 AM,95,10,4,32,Online,Delivery,Cheesecake,Dessert,8,4,Brandtr Bissex,bbissex2m@networkadvertising.org,139-943-4100
299,7/15/2024,1:08 AM,65,6,2,32,Cash,Takeaway,Grilled Salmon,Main Course,16,9,Kamilah Stedmond,kstedmond1s@soup.io,216-375-4907
301,5/8/2024,6:48 PM,59,6,1,16,Card,Takeaway,Grilled Salmon,Main Course,16,9,Florina Godbald,fgodbald1m@comcast.net,541-331-9338
307,12/26/2024,2:30 PM,71,15,4,40,Cash,Delivery,Chocolate Milkshake,Beverage,10,6,Lu Demange,ldemange1y@jiathis.com,597-664-9865
309,3/24/2024,4:56 AM,16,8,1,15,Card,Delivery,Vegetable Stir Fry,Main Course,15,8,Tann MacFarlane,tmacfarlanef@homestead.com,589-484-2297
310,7/13/2023,3:18 PM,44,7,4,80,Online,Takeaway,Spaghetti Carbonara,Main Course,20,14,Sarita Bockh,sbockh17@feedburner.com,670-491-3908
320,12/24/2023,4:32 AM,99,4,3,45,Cash,Delivery,Margherita Pizza,Main Course,15,10,Carlin Dearlove,cdearlove2q@yellowbook.com,479-399-2856
336,2/20/2023,3:46 PM,94,12,2,16,Cash,Delivery,Mango Smoothie,Beverage,8,4,Haley Langdon,hlangdon2l@zdnet.com,311-710-1642
343,10/4/2023,1:04 AM,7,13,5,40,Online,Takeaway,Apple Smoothie,Beverage,8,4,Jennie Hannigane,jhannigane6@godaddy.com,517-761-8565
352,9/5/2024,11:42 PM,35,14,2,12,Online,Dine-in,Banana Smoothie,Beverage,6,3,Natalie O'Nolan,nonolany@harvard.edu,538-822-1192
355,5/2/2024,12:15 PM,49,2,2,30,Cash,Dine-in,Bruschetta,Appetizer,15,7,Percival Leonard,pleonard1c@google.es,185-509-1815
359,9/11/2024,7:06 PM,71,11,3,30,Cash,Dine-in,Tiramisu,Dessert,10,6,Lu Demange,ldemange1y@jiathis.com,597-664-9865
364,10/4/2023,4:31 AM,34,13,3,24,Online,Delivery,Apple Smoothie,Beverage,8,4,Dwight Dickons,ddickonsx@aboutads.info,493-181-0807
365,7/8/2023,10:23 PM,62,11,1,10,Online,Delivery,Tiramisu,Dessert,10,6,Allyson Ventam,aventam1p@sfgate.com,721-388-9475
368,9/9/2024,3:18 AM,83,15,3,30,Cash,Takeaway,Chocolate Milkshake,Beverage,10,6,Alva Mattecot,amattecot2a@dailymail.co.uk,375-293-1247
375,7/10/2023,4:58 PM,91,1,3,30,Online,Takeaway,Garlic Bread,Appetizer,10,6,Che Attenborrow,cattenborrow2i@infoseek.co.jp,705-562-6482
376,1/22/2023,1:04 PM,64,13,3,24,Card,Delivery,Apple Smoothie,Beverage,8,4,Karena Cawthery,kcawthery1r@stanford.edu,191-680-7120
388,9/9/2024,10:51 AM,90,4,3,45,Online,Takeaway,Margherita Pizza,Main Course,15,10,Priscilla Dundredge,pdundredge2h@hc360.com,465-435-0228
404,12/20/2023,1:24 AM,99,8,4,60,Cash,Takeaway,Vegetable Stir Fry,Main Course,15,8,Carlin Dearlove,cdearlove2q@yellowbook.com,479-399-2856
405,2/20/2023,3:39 AM,81,2,3,45,Online,Takeaway,Bruschetta,Appetizer,15,7,Dahlia Keyser,dkeyser28@edublogs.org,386-739-5165
410,7/19/2024,1:23 PM,85,14,4,24,Cash,Takeaway,Banana Smoothie,Beverage,6,3,Augusta Inglesfield,ainglesfield2c@lulu.com,905-424-7165
411,5/29/2023,3:44 PM,80,10,1,8,Online,Takeaway,Cheesecake,Dessert,8,4,Prinz Strapp,pstrapp27@sourceforge.net,502-659-4665
426,1/20/2024,4:02 PM,4,10,4,32,Online,Dine-in,Cheesecake,Dessert,8,4,Andra Boucher,aboucher3@skype.com,908-789-3689
430,7/14/2023,11:54 AM,54,7,3,60,Cash,Dine-in,Spaghetti Carbonara,Main Course,20,14,Veronike Westell,vwestell1h@hexun.com,494-671-1136
449,10/2/2023,2:57 AM,39,7,1,20,Cash,Dine-in,Spaghetti Carbonara,Main Course,20,14,Gale Gisburne,ggisburne12@dion.ne.jp,513-438-1347
455,12/27/2023,11:32 AM,17,15,4,40,Cash,Dine-in,Chocolate Milkshake,Beverage,10,6,Hurleigh Radnedge,hradnedgeg@myspace.com,536-375-7518
470,5/27/2023,2:53 AM,33,3,3,21,Card,Dine-in,Spring Rolls,Appetizer,7,4,Isabella Cereceres,icereceresw@jalbum.net,169-555-6383
476,5/8/2024,6:43 AM,42,14,2,12,Cash,Delivery,Banana Smoothie,Beverage,6,3,Giffie Di Boldi,gdi15@furl.net,829-343-2360
477,9/29/2023,11:22 PM,65,15,3,30,Cash,Dine-in,Chocolate Milkshake,Beverage,10,6,Kamilah Stedmond,kstedmond1s@soup.io,216-375-4907
484,12/26/2024,8:28 PM,44,2,1,15,Online,Takeaway,Bruschetta,Appetizer,15,7,Sarita Bockh,sbockh17@feedburner.com,670-491-3908
486,5/8/2024,9:21 AM,19,2,2,30,Card,Dine-in,Bruschetta,Appetizer,15,7,Vidovik Khadir,vkhadiri@si.edu,563-462-1994
513,12/20/2023,12:25 AM,67,9,3,21,Cash,Dine-in,Chocolate Cake,Dessert,7,4,Rahal Coskerry,rcoskerry1u@pbs.org,612-538-5127
519,12/22/2024,3:54 AM,5,2,3,45,Card,Delivery,Bruschetta,Appetizer,15,7,Steven Klosges,sklosges4@amazon.co.uk,378-930-8342
523,2/26/2023,10:00 PM,52,8,2,30,Online,Dine-in,Vegetable Stir Fry,Main Course,15,8,Ardyce Pomery,apomery1f@skyrock.com,425-901-0338
541,10/1/2023,11:30 AM,1,4,4,60,Cash,Dine-in,Margherita Pizza,Main Course,15,10,Lynea Cohalan,lcohalan0@mtv.com,543-211-8741
554,5/6/2024,6:50 AM,62,9,5,35,Online,Dine-in,Chocolate Cake,Dessert,7,4,Allyson Ventam,aventam1p@sfgate.com,721-388-9475
560,7/20/2024,4:27 PM,46,2,1,15,Online,Takeaway,Bruschetta,Appetizer,15,7,Maribel Nicklin,mnicklin19@goo.gl,878-949-7968
569,9/27/2023,7:57 PM,27,14,5,30,Card,Delivery,Banana Smoothie,Beverage,6,3,Lacy Ettridge,lettridgeq@java.com,492-624-0297
571,5/30/2023,2:38 PM,31,7,2,40,Cash,Dine-in,Spaghetti Carbonara,Main Course,20,14,Vanessa Swatheridge,vswatheridgeu@yellowbook.com,502-156-7557
578,5/29/2023,8:46 PM,90,12,3,24,Online,Delivery,Mango Smoothie,Beverage,8,4,Priscilla Dundredge,pdundredge2h@hc360.com,465-435-0228
579,9/7/2024,6:35 PM,59,6,2,32,Cash,Takeaway,Grilled Salmon,Main Course,16,9,Florina Godbald,fgodbald1m@comcast.net,541-331-9338
583,1/20/2024,9:32 PM,99,9,1,7,Online,Takeaway,Chocolate Cake,Dessert,7,4,Carlin Dearlove,cdearlove2q@yellowbook.com,479-399-2856
590,10/24/2024,12:34 PM,96,1,2,20,Card,Delivery,Garlic Bread,Appetizer,10,6,Andrej McGinty,amcginty2n@blogger.com,942-430-2232
591,1/25/2024,8:02 PM,22,10,4,32,Card,Dine-in,Cheesecake,Dessert,8,4,Correy Josiah,cjosiahl@usda.gov,104-295-2452
609,10/26/2024,6:02 PM,57,10,5,40,Online,Takeaway,Cheesecake,Dessert,8,4,Olivie Saunper,osaunper1k@surveymonkey.com,583-463-4116
612,2/21/2023,10:22 PM,48,5,5,60,Card,Takeaway,Chicken Burger,Main Course,12,7,Norrie Ilyin,nilyin1b@census.gov,628-952-0729
614,1/23/2023,7:19 PM,21,7,4,80,Online,Dine-in,Spaghetti Carbonara,Main Course,20,14,Margarette Leile,mleilek@diigo.com,485-734-6385
620,7/17/2024,2:15 AM,67,6,4,64,Card,Dine-in,Grilled Salmon,Main Course,16,9,Rahal Coskerry,rcoskerry1u@pbs.org,612-538-5127
621,10/25/2024,11:58 PM,35,14,5,30,Online,Dine-in,Banana Smoothie,Beverage,6,3,Natalie O'Nolan,nonolany@harvard.edu,538-822-1192
624,5/25/2023,12:02 AM,24,3,4,28,Card,Dine-in,Spring Rolls,Appetizer,7,4,Jorie Dibdale,jdibdalen@businessinsider.com,173-875-2570
631,10/4/2023,8:52 AM,45,3,3,21,Online,Dine-in,Spring Rolls,Appetizer,7,4,Cami Cadlock,ccadlock18@unc.edu,512-815-5087
632,3/22/2024,3:44 PM,17,5,4,48,Card,Delivery,Chicken Burger,Main Course,12,7,Hurleigh Radnedge,hradnedgeg@myspace.com,536-375-7518
648,7/22/2024,3:22 PM,57,9,4,28,Cash,Dine-in,Chocolate Cake,Dessert,7,4,Olivie Saunper,osaunper1k@surveymonkey.com,583-463-4116
652,5/5/2024,8:53 AM,95,13,2,16,Online,Delivery,Apple Smoothie,Beverage,8,4,Brandtr Bissex,bbissex2m@networkadvertising.org,139-943-4100
654,12/26/2024,6:39 AM,63,8,5,75,Online,Dine-in,Vegetable Stir Fry,Main Course,15,8,Myrta Doble,mdoble1q@theglobeandmail.com,930-251-4907
665,7/8/2023,9:05 AM,57,11,5,50,Card,Delivery,Tiramisu,Dessert,10,6,Olivie Saunper,osaunper1k@surveymonkey.com,583-463-4116
683,2/20/2023,4:36 PM,74,4,2,30,Online,Delivery,Margherita Pizza,Main Course,15,10,Anthiathia Servant,aservant21@state.gov,623-589-7032
689,12/20/2024,12:36 PM,67,9,4,28,Card,Takeaway,Chocolate Cake,Dessert,7,4,Rahal Coskerry,rcoskerry1u@pbs.org,612-538-5127
691,2/25/2023,7:04 PM,57,4,5,75,Cash,Delivery,Margherita Pizza,Main Course,15,10,Olivie Saunper,osaunper1k@surveymonkey.com,583-463-4116
693,1/23/2024,6:55 PM,15,9,1,7,Online,Delivery,Chocolate Cake,Dessert,7,4,Beret Wotherspoon,bwotherspoone@xing.com,218-248-2040
699,12/20/2023,1:14 PM,25,1,4,40,Online,Delivery,Garlic Bread,Appetizer,10,6,Gabie Nelthrop,gnelthropo@harvard.edu,298-742-3720
702,9/30/2023,8:48 AM,87,3,3,21,Card,Takeaway,Spring Rolls,Appetizer,7,4,Brianne Moehle,bmoehle2e@livejournal.com,835-372-2206
706,9/6/2024,9:36 PM,63,3,3,21,Card,Delivery,Spring Rolls,Appetizer,7,4,Myrta Doble,mdoble1q@theglobeandmail.com,930-251-4907
711,12/26/2023,12:59 PM,24,12,1,8,Card,Delivery,Mango Smoothie,Beverage,8,4,Jorie Dibdale,jdibdalen@businessinsider.com,173-875-2570
735,7/7/2023,1:06 PM,100,3,3,21,Online,Takeaway,Spring Rolls,Appetizer,7,4,Orly Engelmann,oengelmann2r@xinhuanet.com,538-703-9672
741,3/25/2024,6:05 AM,54,8,3,45,Card,Delivery,Vegetable Stir Fry,Main Course,15,8,Veronike Westell,vwestell1h@hexun.com,494-671-1136
746,1/23/2024,12:00 PM,41,7,4,80,Cash,Takeaway,Spaghetti Carbonara,Main Course,20,14,Kameko Whissell,kwhissell14@123-reg.co.uk,814-690-5796
747,5/9/2024,9:25 AM,71,5,2,24,Cash,Takeaway,Chicken Burger,Main Course,12,7,Lu Demange,ldemange1y@jiathis.com,597-664-9865
748,9/9/2024,7:30 AM,93,15,2,20,Online,Takeaway,Chocolate Milkshake,Beverage,10,6,Zora Hanburry,zhanburry2k@msu.edu,999-615-4136
749,12/25/2023,9:12 PM,37,6,2,32,Cash,Takeaway,Grilled Salmon,Main Course,16,9,Trevar Cobby,tcobby10@examiner.com,160-918-7308
752,5/30/2023,10:50 PM,61,3,1,7,Card,Takeaway,Spring Rolls,Appetizer,7,4,Karon Conibere,kconibere1o@mashable.com,964-921-6801
764,12/23/2024,11:48 AM,8,12,4,32,Cash,Delivery,Mango Smoothie,Beverage,8,4,Steffane Millins,smillins7@imageshack.us,307-614-1405
771,12/25/2023,5:38 PM,82,12,3,24,Card,Delivery,Mango Smoothie,Beverage,8,4,Iver Sherrett,isherrett29@studiopress.com,501-369-7913
786,12/21/2023,2:37 PM,65,10,1,8,Card,Delivery,Cheesecake,Dessert,8,4,Kamilah Stedmond,kstedmond1s@soup.io,216-375-4907
787,10/29/2024,8:44 AM,79,14,5,30,Cash,Takeaway,Banana Smoothie,Beverage,6,3,Lennie Follin,lfollin26@w3.org,647-206-4256
806,10/29/2024,7:04 AM,63,10,3,24,Online,Delivery,Cheesecake,Dessert,8,4,Myrta Doble,mdoble1q@theglobeandmail.com,930-251-4907
807,12/27/2023,7:48 PM,35,4,2,30,Card,Takeaway,Margherita Pizza,Main Course,15,10,Natalie O'Nolan,nonolany@harvard.edu,538-822-1192
809,5/29/2023,2:24 AM,52,8,3,45,Cash,Takeaway,Vegetable Stir Fry,Main Course,15,8,Ardyce Pomery,apomery1f@skyrock.com,425-901-0338
815,1/21/2023,5:53 AM,76,15,5,50,Card,Delivery,Chocolate Milkshake,Beverage,10,6,Shanon Arrington,sarrington23@addtoany.com,921-277-5012
